리뷰자,type1,type2,type3,type4,랭킹
QlVXdURSZ1lNcFdsVG9SdHY5K09qQT09,복합성,웜톤,모공,민감성,0
Nk1zOUlEaDZIK0s2QVJiemxLemVKZz09,트러블성,가을웜톤,모공,민감성,0
VmorRWNuRFBpRG1hOGM3TnlldHJZUT09,트러블성,봄웜톤,각질,미백,0
ODBPcmoxbW01RmRQcW9KN2RlQTNTUT09,-,-,,,0
NzQyKzBQZVdCMjdTaXN6NU5lbWdRZz09,약건성,여름쿨톤,다크서클,모공,0
b0pyTElWTjlFVnBEWlM1aTJyVEZ1UT09,복합성,봄웜톤,아토피,홍조,0
NFRwNzh4VkgzRW56Q3FFYjU1UGpPZz09,건성,웜톤,다크서클,잡티,0
Q1RpVmFza0NIS3ZHZXJEaFNyR2JtZz09,복합성,여름쿨톤,미백,주름,0
aUwwSXlUV0xJdGpWc2xxTExLcURQQT09,건성,웜톤,모공,미백,0
VnVzUXF2SGtDaHYvZmVBVmdVU0VxQT09,건성,봄웜톤,미백,잡티,0
bkZxTmhzbml3R3lRY3gvU0tDVkI2Zz09,건성,웜톤,모공,홍조,838
TmwwU05ERWhSWXFoQVdtSGtQaTBUZz09,복합성,쿨톤,모공,블랙헤드,543
U3QralFWNjV4RWkzUVRJeWR1NnVpQT09,지성,쿨톤,잡티,트러블,0
cUJtSnhEUUpKanZPZzNUK3VCdmU1QT09,복합성,쿨톤,각질,미백,0
dUxoOFZ6Q0RBYUxFWis5MytCQ2FuQT09,-,-,,,0
dlZLU0ZXRVRQbUhEMHNab1pvWDdBZz09,민감성,여름쿨톤,모공,블랙헤드,0
am1vS2gzNWhlREkrNFY5Q2JROEpSZz09,-,-,,,0
VXdyMnU1RU9TUDFuVUxCclM0YVMrdz09,-,-,,,0
em5ZUy9rRkxwNDdzR2hBY05hVDVJZz09,-,-,,,0
NFNXRnRBa0JoSEJ4UlhpcWMweGJiZz09,트러블성,가을웜톤,다크서클,트러블,0
WUdRUzZoUkROUEljUjlONDEyN1J0Zz09,-,-,,,0
cHRZUFVQSlVUV0ZLL0pwUysrd0liZz09,-,-,,,0
N28vSEFSUkMxRUhWT251aVNJWFRmQT09,-,-,,,0
WlM2YlpEYmpqRkJzYyswZXc0cWlsQT09,-,-,,,0
UDRJbEFPbW5ubWRkamJLOXlONTZBUT09,-,-,,,0
M2VhcVJYOEJ6c2x5MFFUSElLMlJndz09,복합성,-,탄력,,0
azB2bGlwa255eVBBYzc3ZFRkS045Zz09,지성,쿨톤,모공,탄력,0
ZmZzbVpxdXhhTlMyUXFkekpDaUxTQT09,-,-,,,0
UmRXRWhKMkhydFZuL2FrdXZ3Smh0UT09,복합성,웜톤,다크서클,모공,0
bStmd090RThGemdDNWw5QmwzaXVLZz09,트러블성,쿨톤,잡티,,0
WFh6b0phbXNNdW5DNUpreXJhdHFiUT09,-,-,,,1256
NkhyOThPbWI4Zm9Kb0tuZ0JGblVJQT09,복합성,쿨톤,모공,블랙헤드,0
VFI2Q0hWeVNqWmlTZ1lUbDdHSlFDQT09,지성,쿨톤,모공,트러블,0
dEJpK0RvalRCamVuazdVeTlnZWlsZz09,복합성,쿨톤,모공,블랙헤드,0
TDBTRElzdHZOMGtqdkZ2K0dKb3p1Zz09,건성,봄웜톤,모공,블랙헤드,1276
TTlEUzRycDR6THQvUS9OWWREVnQwZz09,-,-,,,0
WWtuKzQwTFZmU2pYN0hFUWpYbnM1UT09,-,-,,,0
T2sveFV3cWlublY1dis0cWJaVGJrUT09,-,-,,,0
a0N6ZzNWTGhGZE5pTEZWWjdPNHh2dz09,-,-,,,0
ZXJMWG5ZZ0lwY0FaSlVZQVhBY3BGUT09,복합성,쿨톤,블랙헤드,트러블,0
ME1sWk1XVEZHSVZJT3Q3Mll0Mm9Fdz09,건성,웜톤,,,0
bDk3UUVRTEtGamEzWnU1L2JuaUMyUT09,-,-,,,0
SWwwN3BpTFdWWmlsdjhRN0YwZGdVUT09,복합성,가을웜톤,민감성,,0
WFNBSjlrZmRydVFoR2JOQU00Ym9IQT09,-,-,,,0
cmdDVURhd2oyRHRMbmhmMkY1MUpaZz09,건성,쿨톤,홍조,,1570
YkNVZDNzV21LYTFKL1dRTXlQbEVldz09,민감성,웜톤,각질,모공,0
NlhLMG12TkpQd2dsSHR4K2pVZlV4dz09,-,-,,,0
R3QxVHlVQkY3ZnZoeVVEbXZaaWhodz09,지성,쿨톤,각질,블랙헤드,0
ZEE3d0cvaUQvK2ZCR1dTMkk4ZTBQUT09,건성,웜톤,잡티,주름,0
ZlBEYVRYTGlTOVB3MnVPdFppdVBYUT09,-,-,,,0
YVU3NjRoeEZFTG5FbnNwdmt1Mm16QT09,지성,쿨톤,민감성,블랙헤드,0
ZGo5Z1gzNkhjOUp3dGdPblRZUVh4QT09,복합성,쿨톤,잡티,탄력,1852
RnczREg4aHRPdjA0UDl0V2pRNU1hZz09,복합성,여름쿨톤,탄력,트러블,1118
elJDTHFYQWxVUWJqNEcwMldIbzJoUT09,복합성,쿨톤,각질,모공,642
emtJajIweEZWek5kTjVMSnViQ0tkdz09,건성,웜톤,,,0
VFd2aWl5QWUrQUVGNG4wVlI1T2laZz09,건성,-,,,0
UzIxbXFJRExINW9SdTdyK09ITEtVQT09,건성,봄웜톤,각질,미백,0
WEhjZ1lvZXVIQUI5d2lkMkhuYTliUT09,복합성,-,모공,,0
dFJYejlTdDJqakxNTDBhRDQ2bS91Zz09,-,-,,,0
UDVGQVlaa0xGcGxjcC9QYVY2bThTQT09,복합성,여름쿨톤,모공,미백,0
L1k0c3J6Z2xQa3JZOENVUjJKREN0UT09,지성,-,블랙헤드,,0
U1A4UWFBYkhCMUxxTnZJM2hxTUlpQT09,복합성,웜톤,잡티,주름,0
OEpaU2dRenRoN2hjVEF3VnRuMXg4UT09,복합성,웜톤,,,0
cEFsN2FGSXl6S3lOaHZCNzBsa21nZz09,복합성,쿨톤,탄력,홍조,0
cVdybGhlbGpLZ0QyRlNYWVJuWDRvUT09,복합성,쿨톤,모공,민감성,266
WmZkSUQ0MTNxczJLaDdjeDlvSEtxZz09,지성,웜톤,모공,미백,0
ODUybEU3K1V0bitSR0NJelhjN1B6QT09,복합성,쿨톤,미백,,0
NHV6V2hCMnBiMFpQQnUvMzM5NU1jUT09,-,-,,,0
VHZDNFM1YksyaEZLd0N5RWd6bnlNdz09,복합성,웜톤,각질,민감성,0
RjdxK1J4RHRCdmhUWkIwMnltS25kQT09,약건성,가을웜톤,미백,잡티,0
WDVmVUI0dDYzRFplQ0dUbThhanhjQT09,복합성,웜톤,각질,모공,0
UFM3K0JocWZWVjdGNmthanc5UHZLUT09,복합성,웜톤,주름,트러블,0
V2hOcm1qa2I3YzFVS0pTdlJDZEQrdz09,건성,봄웜톤,모공,블랙헤드,0
aHB0UWhZUm16ODVYZEptbllkc1p5QT09,-,-,,,0
T2g3K1VCR3M4eXB6MVFCMWY1NmRlUT09,중성,여름쿨톤,각질,다크서클,0
ZDQ5azR5MzhBcW9vU3YrbEdEc2x4dz09,복합성,가을웜톤,모공,블랙헤드,0
WWtoaTUzZ1lYZnNMM0JLb1BTSWFvZz09,건성,웜톤,모공,미백,0
WkVxUlFPVVVKbVc5T1hEcDgxaS9Pdz09,-,-,,,0
YjZ5cVliWmZ5bEdCUkZSRlpDcDZ1Zz09,-,-,,,0
WXp6eUg0MW9udE1RRGJDOFAvN0dYUT09,건성,웜톤,민감성,잡티,0
NTJiM0dreUNZeVlyajgyQVdLZHpDdz09,복합성,쿨톤,미백,주름,0
bWFTa2xyWEhrdFpwV0orS0FVRTljQT09,-,-,,,0
MTdjNUxpT0l2dHlRVzRpaHRGMzBZdz09,복합성,웜톤,모공,미백,0
b2toSGNNc1pmUU9SWHoyVWFUNEtWdz09,-,-,,,0
SE9VU3BoRklKc2lkekkyTUJWbU5SQT09,-,-,,,0
Q1E4VUhRc2Z1ZlF1cGpteFlPZ3NjQT09,-,-,,,0
b2lxZ1JwdUd4MElPa1lwOGtkSVJtZz09,-,-,,,0
UUd4UGpERlZjTUJQbm4yMkNhZ3BiUT09,-,-,,,0
UnlrbHdLaStucXByODh3aCsydmxRQT09,건성,-,주름,,0
aytBakxMK2Q2R3hXRGw5Y1FWZGs5dz09,복합성,웜톤,각질,미백,0
SFVGNmRBWm9lOXhqU0lQME8yVTlUdz09,-,-,,,0
cnRyWWljWmZaWGY1WXpxUnk2UHJJQT09,복합성,쿨톤,모공,잡티,0
VXY3dDlYcGF4U3BOMW9jMmtOa01Qdz09,-,-,,,0
M1VYdFVEUE9MN1Y2UTI0Q2RnNXA5QT09,-,-,,,0
b3E3RnZuNitudWtVMWk3V3Q5SFB6UT09,건성,가을웜톤,미백,,1542
TFZ3OHdaMGVwVWtZSXhxUE1KalljQT09,건성,봄웜톤,민감성,잡티,1018
dklrN0picVd5aGJKNnJ0SXQ2NU1wZz09,민감성,-,미백,,0
TEh5aUk5c1A5S0tyWWVOU1BWb3FLdz09,-,-,,,0
