goodsno,url,상품명,카테고리,브랜드,가격,용량,주요사양,성분,전체 평점,5점,4점,3점,2점,1점,1_1피부,1_2피부,1_3피부,2_1피부,2_2피부,2_3피부,3_1피부,3_2피부,3_3피부,증정 여부
A000000177757,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177757&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[어성초] 넘버즈인 1번 진정 맑게담은 청초토너 300ml 기획 (+1번 패드 10매 증정),스킨/토너,넘버즈인,"26,000",[본품] 300ml / [증정] 패드 10매(2매*5개입),모든 피부 용,"병풀추출물(39.2%), 약모밀추출물(28.1%), 감초뿌리추출물(25.7%), 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올,부틸렌글라이콜, 글리세린, 히아신스전초추출물, 하수오전초추출물, 카보머, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 알바수련꽃추출물, 베타인, 판테놀",4.8,87,10,2,1,0,17,61,22,15,85,1,81,19,1,1.0
A000000161508,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161508&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,라운드랩 1025 독도 로션 400ml 대용량,로션/에멀젼,라운드랩,"39,000",400ml,모든 피부용,"정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 호호바에스터, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 세테아릴알코올, 카보머",4.8,83,13,3,0,1,25,63,12,63,37,1,78,22,2,0.0
A000000016686,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016686&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,아벤느 트릭세라 로션 (본품200ml+100ml 추가 증정),로션/에멀젼,아벤느,"25,560",정품: 200ml / 증정품: 100ml,"민감성, 건성","아벤느온천수(아쿠아),글리세린,카프릴릭/카프릭트리글리세라이드,이소프로필팔미테이트,프로필렌글라이콜디카프레이트,글리세릴스테아레이트,피이지-100스테아레이트,미레스-3미리스테이트,토코페릴아세테이트,달맞이꽃오일,카프릴릴글라이콜,글라이신,펜틸람노사이드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카보머, 벤조익애씨드,정제수,소듐하이드록사이드,향료,피이지-400,콩추출물,피이지-32,토코페롤

클로페네신, 페녹시에탄올, 소듐하이드록사이드",4.7,78,15,5,1,1,51,45,4,83,15,2,76,21,3,1.0
A000000147339,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[찐진정 토너] 아누아 어성초 77% 토너 350ml,스킨/토너,아누아,"30,500",350ml,모든 피부용,"약모밀추출물, 정제수, 1,2-헥산다이올, 글리세린, 베타인, 병풀추출물, 체이스트트리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 포도추출물, 사과추출물, 사탕수수추출물, 판테놀, 마트리카리아꽃추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 메틸프로판다이올, 부틸렌글라이콜, 아이소펜틸다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",4.7,81,14,4,1,1,18,62,20,17,83,1,76,22,2,0.0
A000000163493,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163493&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,라운드랩 포 맨 자작나무 수분 토너 200ml,스킨/토너,라운드랩,"18,000",200ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 다이프로필렌글라이콜, 자작나무수액, 1,2-헥산다이올, 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 아스코빅애씨드, 감나무잎추출물, 포도추출물, 호장근뿌리추출물, 커피콩추출물, 잇꽃꽃추출물, 밤껍질추출물, 녹차추출물, 초피나무열매추출물, 글루코노락톤, 토코페롤, 베타인, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 치자추출물, 에틸헥실글리세린, 다이소듐이디티에이",4.8,86,11,3,0,0,24,54,22,50,50,1,75,25,1,0.0
A000000145576,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145576&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,라운드랩 1025 독도 로션 (본품200ml+50ml 추가 증정),로션/에멀젼,라운드랩,"17,900",[본품] 1025 독도 로션 200ml+[증정품] 1025 독도 로션 50ml,모든 피부용,"정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 호호바에스터, 아이리쉬모스추출물, 사탕수수추출물, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 세테아릴알코올, 카보머",4.8,82,14,4,0,1,25,62,13,57,43,1,76,22,2,1.0
A000000157691,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157691&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[단독대용량] 브링그린 대나무 히알루 수분 토너 510ml,스킨/토너,브링그린,"18,700",510mL,모든 피부용,"왕대수액, 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 소듐하이알루로네이트, 접시꽃추출물, 왕대추출물, 판테놀, 에틸헥실글리세린, 알란토인, 베타-글루칸, 토코페롤, 잔탄검, 다이소듐이디티에이",4.8,81,15,3,1,0,28,60,12,54,46,1,76,24,1,0.0
A000000148391,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148391&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[증량] 아누아 어성초 77 토너 500ml,스킨/토너,아누아,"45,000",500ml,모든 피부용,"약모밀추출물(77%), 정제수, 1,2-헥산다이올, 글리세린, 베타인, 병풀추출물, 체이스트트리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 포도추출물, 사과추출물, 사탕수수추출물, 판테놀, 마트리카리아꽃추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 메틸프로판다이올, 부틸렌글라이콜, 아이소펜틸다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",4.8,87,10,3,0,1,19,62,19,19,81,1,79,21,1,0.0
A000000183230,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183230&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[NEW] 라운드랩 포 맨 1025 독도 올인원 플루이드 200ml,올인원,라운드랩,"17,900",200ml,모든 피부용,"정제수, 다이프로필렌글라이콜 , 카프릴릴메티콘, 하이드로제네이티드폴리(C6-14올레핀), 메틸프로판다이올, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 해수, 부틸렌글라이콜, 하이드로제네이티드레시틴, 토코페롤, 연꽃꽃추출물, 효모발효물, 개똥쑥추출물, 쌀추출물, 판테놀, 소듐폴리아크릴로일다이메틸타우레이트, 팔미틱애씨드, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 에틸헥실글리세린, 폴리글리세릴-2스테아레이트, C14-22알코올, 글루코오스, 글루코노락톤, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, C12-16알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 카프릴릴글라이콜, 스테아릴알코올, 잔탄검, 트로메타민, 다이소듐이디티에이",4.9,91,6,2,0,0,16,74,10,52,48,0,71,29,0,0.0
A000000176899,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176899&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[정우성 Pick] 무슈제이 베이직 아쿠아 올인원 1+1 기획(200ml+200ml),올인원,무슈제이,"21,900",200ml + 200ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 나이아신아마이드, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 스쿠알란, 아데노신, 판테놀, 병풀추출물, 편백잎추출물, 아세틸헥사펩타이드-8, 황금추출물, 호장근뿌리추출물, 스페인감초뿌리추출물, 소듐하이알루로네이트, 녹차추출물, 다이포타슘글리시리제이트, 하이드로제네이티드레시틴, 포스파티딜콜린, 로즈마리잎추출물, 마트리카리아꽃추출물, 카프릴릴글라이콜, 세라마이드엔피, 다이메티콘, 아이소헥사데칸, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 폴리솔베이트60, 토코페릴아세테이트, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 1,2-헥산다이올, 페녹시에탄올, 향료",4.8,86,11,2,1,0,21,68,12,60,37,3,60,40,1,1.0
A000000179260,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179260&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,랩시리즈 데일리 레스큐 페이스 로션 50ml 기획세트 (20ml*2 증정),로션/에멀젼,랩시리즈,"64,600",50ml,모든 피부 타입용,"데일리 레스큐 에너자이징 훼이스 로션 : 정제수,나이아신아마이드,옥틸도데칸올,글리세린,에틸렌/아크릴릭애씨드코폴리머,비스-피이지-18메틸에터다이메틸실레인,부틸렌글라이콜,인삼추출물 (0.025%),무수카페인,팔미토일헥사펩타이드-12,아스코빌글루코사이드,아세틸헥사펩타이드-8,테트라헥실데실아스코베이트,녹차추출물,제주진득찰추출물,보리추출물,당밀추출물,만주자작나무껍질추출물,유청단백질,알로에베라잎즙가루,다이포타슘글리시리제이트,조류추출물,밀배아추출물,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,소듐하이알루로네이트,토코페릴아세테이트,글리세릴폴리메타크릴레이트,씨휩추출물,아세틸글루코사민,다이메티콘,스쿠알란,피이지-8,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,실리카,소듐하이드록사이드,카프릴릴글라이콜,말토덱스트린,향료,다이소듐이디티에이,비에이치티,포타슘솔베이트,페녹시에탄올,마이카,티타늄디옥사이드 *제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",4.8,86,11,2,0,1,23,69,8,65,23,13,73,27,0,1.0
A000000129771,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129771&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,피지오겔 레드수딩 AI 진정보습 로션 200ml,로션/에멀젼,피지오겔,"30,000",200ml,모든 피부용,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 쉐어버 터, 하이드로제네이티드레시틴, 팔미타마이드엠이에이, 하이드록시에칠셀룰로 오스, 카프릴릴글라이콜, 잔탄검, 베타인, 스쿠알란, 사코신, 아세트아마이드엠 이에이, 소듐카보머, 카보머, 세라마이드엔피(세라마이드3)",4.8,81,15,3,1,0,42,51,7,63,37,1,83,17,1,0.0
A000000169858,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000169858&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,라운드어라운드 그린티 약산성 스킨케어 2종세트,스킨케어 세트,라운드어라운드,"26,600",(본)200mL+220mL (증)33mL+33mL,모든피부,"로션 : 녹차수(77.2%), 글리세린, 프로판다이올, 나이아신아마이드 , 폴리글리세릴-3메틸글루코오스다이스테아레이트 , 1,2-헥산다이올, 다이카프릴릴카보네이트, 스쿠알란, 하이드로제네이티드폴리(C6-14올레핀), 시어버터, 세테아릴알코올, 시메티콘, 카프릴릴메티콘, 글리세릴스테아레이트, 다이프로필렌글라이콜, 하이드록시아세토페논, 카보머, 정제수, 트로메타민, 카프릴릴글라이콜, 에틸헥실글리세린 , 베르가모트오일, 글루코노락톤, 로즈마리잎오일, 필리핀오렌지껍질오일, 부틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 다이포타슘글리시리제이트, 약모밀추출물, 소듐하이알루로네이트, 쇠비름추출물, 병풀추출물, 하이드롤라이즈드하이알루로닉애씨드, 마데카소사이드, 소듐아세틸레이티드하이알루로네이트아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 다이소듐이디티에이, 시트랄, 유제놀, 리모넨, 리날룰
워터 : 녹차수(83.8%), 부틸렌글라이콜, 프로판다이올, 나이아신아마이드, 1,2-헥산다이올, 판테놀, 글리세레스-26, 베타인, C12-14파레스-12, 폴리글리세릴-10라우레이트, 정제수, 카보머, 에틸헥실글리세린, 트로메타민, 다이소듐이디티에이, 약모밀추출물, 오렌지껍질오일, 베르가모트오일, 병풀추출물, 세드랏껍질오일, 펜틸렌글라이콜, 마데카소사이드, 하이알루로닉애씨드, 불가리스쑥오일, 클레리오일, 캐모마일꽃오일, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 리모넨, 리날룰",4.8,80,15,4,0,,,,,,,,,,,1.0
A000000137078,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137078&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,싸이닉 더 심플 데일리 로션 260ml,로션/에멀젼,싸이닉,"9,900",260ml,모든피부용,"정제수, 프로판다이올, 펜틸렌글라이콜, 비닐다이메티콘, 글리세린, 세틸에칠헥사노에이트, 알바수련꽃추출물, 알로에베라잎즙, 부틸렌글라이콜, 마데카소사이드, 세테아릴올리베이트, 카보머, 솔비탄올리베이트, 트로메타민, 소듐하이알루로네이트",4.8,82,15,3,0,0,20,57,23,58,42,1,83,17,0,0.0
A000000182583,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182583&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[올영단독/노윤서PICK]닥터자르트 시카페어 인텐시브 수딩 리페어 트리트먼트 로션 기획(150ml+30ml*2ea),스킨/토너,닥터자르트,"38,000",본품 150mL+30mL*2ea,모든피부용도,"정제수, 프로판다이올, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 메틸프로판다이올, 베타인, 알란토인, 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 부틸렌글라이콜, 폴리글리세릴-4올리에이트, 병풀잎추출물, 소듐스테아로일글루타메이트, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 팔미토일트라이펩타이드-8, 잔탄검, 소듐서팩틴, 아이소펜틸다이올, 덱스트란, 토코페롤",4.9,93,4,1,0,1,30,60,10,31,69,0,80,20,0,1.0
A000000148285,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148285&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,마녀공장 비피다 바이옴 앰플 토너 기획 (본품400ml+100ml),스킨/토너,마녀공장,"17,500",[본품] 400ml + [증정] 100ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 펜틸렌글라이콜, 버지니아풍년화수, 락토바실러스발효용해물, 락토코쿠스발효용해물, 락토바실러스/호박발효추출물, 효모발효여과물, 베타인, 알란토인, 판테놀, 세라마이드엔피, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드로제네이티드레시틴, 비피다발효여과물, 비피다발효용해물, 자일리톨, 안하이드로자일리톨, 자일리틸글루코사이드, 글루코오스, 1,2-헥산다이올, 흰버드나무껍질추출물, 락토바이오닉애씨드, 사탕수수추출물, 쿠티박테리움 그라눌로숨발효추출여과물(10ppb), 프룩토오스, 프룩토올리고사카라이드, 카프릴릭/카프릭트라이글리세라이드, 벤질글라이콜, 토코페롤, 에틸헥실글리세린, 잔탄검, 다이소듐이디티에이, 아이리쉬모스추출물, 클로렐라 불가리스추출물",4.8,83,13,3,0,1,27,62,11,53,45,2,74,26,1,1.0
A000000173425,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173425&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,브링그린 사철쑥카밍밸런스토너510mL화장솜증정 한정기획,스킨/토너,브링그린,"17,600",510mL,모든 피부용,"사철쑥추출물(705,600ppm), 정제수, 글리세린, 프로판다이올, 1,2-헥산다이올, 부틸렌글라이콜, 아이리쉬모스추출물, 사탕수수추출물, 베르가모트오일, 센티드제라늄꽃오일, 카카오씨추출물, 병풀추출물, 살비아오일, 광곽향오일, 쑥잎수, 양배추추출물, 브로콜리추출물, 오크라열매추출물, 시금치추출물, 병풀잎추출물, 쇠비름추출물, 카멜그라스추출물, 펜틸렌글라이콜, 다이에톡시에틸석시네이트, 콜레스-24, 판테놀, 카프릴릴글라이콜, 에틸헥실글리세린, 트로메타민, 덱스트린, 마데카소사이드, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 카보머, 잔탄검, 다이소듐이디티에이, 리모넨, 시트로넬올, 리날룰, 제라니올",4.7,79,16,4,0,1,23,66,12,27,73,0,71,26,3,1.0
A000000175946,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175946&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,라운드랩 포 맨 자작나무 토너/크림 2종 세트(+클렌저 40ml 증정),스킨케어 세트,라운드랩,"31,350",200ml,모든 피부용,"1. 포 맨 자작나무 수분 토너 200ml
정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 다이프로필렌글라이콜, 자작나무수액, 1,2-헥산다이올, 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 아스코빅애씨드, 감나무잎추출물, 포도추출물, 호장근뿌리추출물, 커피콩추출물, 잇꽃꽃추출물, 밤껍질추출물, 녹차추출물, 초피나무열매추출물, 글루코노락톤, 토코페롤, 베타인, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 치자추출물, 에틸헥실글리세린, 다이소듐이디티에이

2. 포 맨 자작나무 수분 크림 75ml
정제수, 부틸렌글라이콜, 다이프로필렌글라이콜 , 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 자작나무수액, 다이카프릴릴카보네이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트 , 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물 , 소듐하이알루로네이트, 하이알루로닉애씨드, 아스코빅애씨드, 포도추출물, 감나무잎추출물, 호장근뿌리추출물, 잇꽃꽃추출물, 커피콩추출물, 녹차추출물, 초피나무열매추출물, 밤껍질추출물, 베타인, 토코페롤, 카프릴릴메티콘, 에틸헥실글리세린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드로제네이티드레시틴, C30-45알킬세테아릴다이메티콘크로스폴리머, 소듐폴리아크릴레이트, 폴리쿼터늄-51, 솔비탄아이소스테아레이트 , 덱스트린, 글리세릴카프릴레이트, 치자추출물, C12-16알코올, 팔미틱애씨드, 다이소듐이디티에이",4.8,84,13,3,0,,,,,,,,,,,1.0
A000000163655,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163655&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,닥터지 더모이스처 배리어 D 로션세트(200ml+30ml),로션/에멀젼,닥터지,"27,200",닥터지 더모이스처 배리어 D 인텐스 로션 200ml(본품) + 더모이스처 배리어D 리퀴드 토너 30ml(구성),모든 피부용,"1. 닥터지 더모이스처 배리어 D 데일리 로션 200ml(본품)
정제수, 프로판다이올, 하이드로제네이티드폴리데센, 스쿠알란, 폴리글리세릴-3다이스테아레이트, 글리세린, 비닐다이메티콘, 실리카, 솔비탄스테아레이트, 1,2-헥산다이올, 세테아릴올리베이트, 세라마이드엔피, 카프릴릴글라이콜, 솔비탄올리베이트, 올리브오일불검화물, 하이드로제네이티드레시틴, 글리세릴스테아레이트시트레이트, 폴리아크릴레이트크로스폴리머-6, 글리세릴 글루코사이드, 잔탄검, 돌콩오일불검화물, 밀배아오일불검화물, 토코페롤, 아이소말트, 수크로오스코코에이트, 콜레스테롤, 글루코노락톤, 에틸헥실글리 세린, 팔미틱애씨드, 카프릴릭/카프릭트라이글리세라이드, 꽃가루추출물, 다이소듐이디티에이, 소듐하이알루로네이트, 자일리틸글루코사이드, 안하이드로자일리톨, t-부틸알코올, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 자일리톨, 글루코오스, 알루미늄/마그네슘하이드록사이드스테아레이트, 미리스틱애씨드, 흰목이버섯폴리사카라이드, 소듐스테아로일글루타메이트, 스테아릭애씨드, 7-데하이드로콜레스테롤, 소듐아스코빌포스페이트, 칼슘클로라이드, 포도즙추출물, 피톨


2. 닥터지 더모이스처 배리어 D 리퀴드 토너 30ml(구성품)
정제수, 프로판다이올, 부틸렌글라이콜, 글리세레스-26, 베타인, 글리세린, 1,2-헥산다이올, 다이페닐다이메티콘, 트라이에틸헥사노인, 카보머, 카프릴릴글라이콜, C12-13파레스-9, 하이드로제네이티드레시틴, 카프릴릭/카프릭트라이글리세라이드, 판테놀, 아이소말트, 에틸헥실글리세린, 다이소듐이디티에이, 트로메타민, 폴리글리세릴-10스테아레이트, 폴리글리세릴-10올리에이트, 소듐하이알루로네이트, 세라마이드엔피, 올리브오일불검화물, 밀배아오일불검화물, 알루미늄/마그네슘하이드록사이드스테아레이트, 돌콩오일불검화물, 콜레스테롤, 팔미틱애씨드, 소듐스테아로일글루타메이트, 7-데하이드로콜레스테롤, 꽃가루추출물, 영하구기자추출물, 레시틴, 칼슘클로라이드, 피톨",4.8,82,13,4,1,0,29,59,12,66,34,1,78,22,1,1.0
A000000155995,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155995&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,포맨트 시그니처 올인원 에센스 모이스처 플러스 150ml,올인원,포맨트,"23,200",150 ml｜e 5.07 fl.,모든피부용,"정제수, 부틸렌글라이콜, 글리세린, 글리세레스-26, 메틸프로판다이올, 나이아신아마이드, 스쿠알란, 폴리글리세릴-4카프레이트, 트레할로오스, 글리세레스-25피씨에이아이소스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 카프릴릴글라이콜, 암모늄아크릴로일다이메틸타우레이트/베헤네스- 25메타크라일레이트크로스폴리머, 펜틸렌글라이콜, 하이드록시아세토페논, 카프릴릭/카프릭트라이글리세라이드, 다이메티콘/비닐다이메티콘크로스폴리머, 1,2-헥산다이올, 향료, 하이드로제네이티드레시틴, 에틸헥실글리세린, 올리브오일, 아데노신, 시어버터, 소듐하이알루로네이트, 잔탄검, 다이소듐이디티에이, 실리카, 세라마이드엔피, 병풀추출물, 황금추출물, 호장근뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 대왕송잎추출물, 칡뿌리추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일올리고펩타이드, 팔미토일테트라펩타이드-7, 트라이펩타이드-1, 헥사펩타이드-9, 노나펩타이드-1, 아세틸테트라펩타이드-2, 카퍼트라이펩타이드-1, 아세틸헥사펩타이드-8",4.8,89,8,1,1,0,45,50,5,73,22,5,71,27,3,0.0
A000000182787,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182787&dispCatNo=100000100010008&trackingCd=Cat100000100010008_MID&curation&egcode&rccode&egrankcode,[5월 올영픽/디렉터파이 PICK] 파티온 노스카나인 트러블 클리어 토너 200ml,스킨/토너,파티온,"15,900",200ml / 6.76 fl. oz.,"민감성피부, 여드름성 피부를 포함한 모든 피부 타입","정제수, 2,3-부탄다이올, 에톡시다이글라이콜, 글루코노락톤, 1,2-헥산다이올, 글리세린, 메틸프로판다이올, 글리세레스-26, 트로메타민, 카프릴릴글라이콜, 클로렐라 불가리스추출물, 글루코오스, 판테놀, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 옥틸도데세스-16, 트라이소듐에틸렌다이아민다이석시네이트, 에틸헥실글리세린, 소듐파이테이트, 다이프로필렌글라이콜, 알란토인, 하이드록시아세토페논, 폴리글리세릴-10라우레이트, 소듐헤파린, 백미꽃추출물, 접시꽃추출물, 카프릴로일살리실릭애씨드, 쑥잎추출물, 토코페롤, 4-터피네올, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 하이드로제네이티드레시틴, 세라마이드엔피",5.0,97,2,0,1,0,26,54,21,35,62,3,92,8,1,0.0
